|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|9162    |RETEN 48MM 72MM 10MM NBR                | 1170|4600176606|     7,74 |
|945156  |RETENTOR 90X110X13MM HIGH TECH          | 1200|4600176606|    10,50 |
|89427   |RETEN 30MM 42,10MM 8MM NBR              | 1220|4600176606|     4,47 |
|91189   |RETEN 22MM 35MM 6,70MM NBR              | 1230|4600176606|     4,21 |
|94196   |RETEN 100MM 130MM 13MM NBR              | 1240|4600176606|    11,84 |
|99155   |RETEN 28MM 47MM 7MM NBR                 | 1250|4600176606|     5,92 |
|104582  |RETEN 95MM 125MM 12MM NBR               | 1260|4600176606|    12,20 |
|112020  |RETEN 35MM 52,1MM 10MM NBR              | 1270|4600176606|     5,00 |
|113093  |RETEN 60MM 80MM 13MM NBR                | 1290|4600176606|     7,89 |
|115487  |RETEN 85MM 120MM 12MM NBR               | 1300|4600176606|     9,99 |
|115703  |RETEN 55MM 80MM 13MM NBR                | 1310|4600176606|     8,95 |
|173452  |RETEN 125MM 150MM 15MM NBR              | 1340|4600176606|    17,10 |
|312207  |RETEN 28MM 52,1MM 10MM NBR              | 1350|4600176606|     4,47 |
|318418  |RETEN 30MM 42MM 6MM NBR                 | 1360|4600176606|     3,33 |
|381322  |RETEN 75MM 95MM 10MM NBR                | 1380|4600176606|    10,49 |
|449407  |RETEN 40MM 56MM 7MM ACM                 | 1410|4600176606|     9,05 |
|473812  |RETEN 18MM 30MM 7MM NBR                 | 1420|4600176606|     3,28 |
|601284  |RETEN 28MM 52,1MM 10MM NBR              | 1430|4600176606|     3,94 |
|699420  |RETEN 50MM 72MM 8MM NBR                 | 1440|4600176606|     7,37 |
|769207  |RETEN 55MM 70MM 8MM NBR                 | 1450|4600176606|     7,11 |
|783226  |RETEN 25MM 42MM 7MM NBR                 | 1460|4600176606|     4,64 |
|813804  |RETEN 70MM 90MM 10MM NBR                | 1470|4600176606|     8,81 |
|826930  |RETEN 20MM 42MM 7MM NBR                 | 1480|4600176606|     5,52 |
|827528  |RETEN 50MM 80MM 10MM NBR                | 1490|4600176606|     7,37 |
|831502  |RETEN 50MM 62MM 7MM NBR                 | 1500|4600176606|     6,42 |
|837552  |RETEN 40MM 62MM 7MM NBR                 | 1510|4600176606|     6,38 |
|849894  |RETEN 20MM 47MM 7MM NBR                 | 1540|4600176606|     4,47 |
|862851  |RETEN 45MM 62MM 8MM NBR                 | 1550|4600176606|     5,00 |
|865038  |RETEN 75MM 90MM 10MM NBR                | 1560|4600176606|     9,74 |
|876377  |RETEN 24MM 62MM 6,5MM NBR               | 1570|4600176606|     8,15 |
|895527  |RETEN 28MM 47MM 7MM NBR                 | 1580|4600176606|     5,92 |
|902280  |RETEN 34MM 52MM 7,5MM NBR               | 1590|4600176606|     4,21 |
|769746  |RETEN 47,7MM 65MM 8MM NBR               | 1630|4600176606|     5,92 |
|950699  |RETEN 82,5MM 120MM 15MM NBR             | 1640|4600176606|    11,64 |
|405054  |LENCOL VEDACAO 3,00MM SILIC             | 1650|4600176606|    19,11 |
|45374   |SELO E80476BBN550 IMBIL                 | 1660|4600176606| 1.382,34 |
|66104   |ROLAMENTO AGULHAS NAO-35X55X20          | 1670|4600176606|    89,00 |
|635456  |RETEN 45MM 75MM 8MM NBR                 | 1690|4600176606|    10,79 |
|158980  |RETEN 205,00MM 230MM 10MM NBR           | 1700|4600176606|   185,61 |
|616109  |RETEN 17MM 30MM 7MM NBR                 | 1710|4600176606|     3,68 |
|4836    |SELO 21138POL KSB                       | 1730|4600176606|    19,43 |
|2391    |SELO 21BUNA114-TI JACUZZI               | 1740|4600176606|    14,93 |
|82670   |SELO 3/4POL KSB                         | 1750|4600176606|   256,07 |
|953268  |RETEN 120MM 160MM 12MM NBR              | 1760|4600176606|    24,34 |
|891183  |SELO MEC 1.3/8" T21                     | 1770|4600176606|    23,40 |
|857513  |RETEN 20MM 42MM 7MM NBR                 | 1780|4600176606|     5,52 |
|855782  |RETEN 30MM 62MM 7MM NBR                 | 1790|4600176606|     6,17 |
|21509   |SELO IP01VF GLASS                       | 1810|4600176606|    41,52 |
|520203  |RETEN 62MM 90MM 10MM NBR                | 1820|4600176606|     8,53 |
|823063  |RETEN 20MM 47MM 7MM NBR                 | 1830|4600176606|     4,47 |
|841046  |ELEMENTO ELAST ACOPLAMENTO NOR-MEX E 148| 1840|4600176606|    29,36 |
|141968  |RETEN 90MM 120MM 13MM NBR               | 1860|4600176606|    12,46 |
|839735  |RETENTOR 0012074X SEW                   | 1870|4600176606|    10,79 |
|620     |RETEN 40MM 72MM 10MM NBR                | 1880|4600176606|     7,62 |
|32187   |SELO TSP34 JACUZZI                      | 1890|4600176606|     5,29 |
|990753  |RETEN 150MM 180MM 15MM FKM              | 1900|4600176606|    58,27 |
|367532  |RETEN 17MM 30MM 7MM NBR                 | 1910|4600176606|     3,94 |
|1726    |RETEN 20MM 40MM 7MM NBR                 | 1920|4600176606|     4,47 |
|619540  |RETEN 65MM 100MM 10MM NBR               | 1940|4600176606|    14,56 |
|2392    |SELO TSP58 JACUZZI                      | 1960|4600176606|     5,29 |
|1697    |RETEN 25MM 42MM 8MM NBR                 | 1990|4600176606|     4,47 |
